시,사업장,상세주소,대표자,전화번호,기부가 더 필요한 물품
전남 보성군,보성군푸드뱅크,전라남도 보성군 보성읍 동인길 18-6,임상선,061-852-9845,
전남 화순군,화순군푸드뱅크,전남 화순군 춘양면 학포로 1303-1,정소향,061-371-1377,
전남 강진군,강진군푸드뱅크,전라남도 강진군 군동면 백금포길 7,문정국,061-434-7002,
전남 영암군,영암군푸드뱅크,전라남도 영암군 영암읍 새동네길 22-1,이삼행,061-471-9933,
전남 무안군,무안군기초푸드뱅크,전라남도 무안군 일로읍 삼일로 493,이호성,061-283-1888,
전남 함평군,함평기초푸드뱅크,전라남도 함평군 함평읍 함장로 1071,정경숙,061-324-2331,
전남 영광군,영광군푸드뱅크,전남 영광군 영광읍,김경옥,061-353-9740,
전남 장성군,장성군푸드뱅크,전라남도 장성군 장성읍 청운길 55,김종석,061-394-5909,
전남 진도군,진도군기초푸드뱅크,전라남도 진도군 진도읍 남동1길 46,천율곡,061-544-2210,
경북 안동시,경북광역푸드뱅크,경상북도 안동시 광명로 166,이상근,054-843-8550,
경북 경주시,경주시푸드뱅크,경북 경주시 용강동,김종우,054-771-8107,
경북 구미시,구미시푸드뱅크,경상북도 구미시 문장로 110(도량동),김용선(법등),054-458-0230,
경북 김천시,김천시푸드뱅크,경상북도 김천시 모암길 3,오석상,054-439-2191,
경북 문경시,문경시푸드뱅크,경북 문경시 모전동,김옥희,054-555-2800,
경북 상주시,상주시푸드뱅크,경북 상주시 냉림동,이광호,054-532-5688,
경북 성주군,성주군푸드뱅크,경상북도 성주군 수륜면 성주가야산로 616,유금희,054-932-3551,
경북 안동시,안동시푸드뱅크,경상북도 안동시 복주5길 23-17,김윤애,054-858-1361,
경북 영주시,영주시푸드뱅크,경북 영주시 가흥1동,김해숙,054-639-0500,
경북 영천시,영천시푸드뱅크,경북 영천시 작산동,이상근,054-335-3633,
경북 울진군,울진군푸드뱅크,경북 울진군 후포면 삼율리,정은경,054-788-2111,
경북 의성군,의성군푸드뱅크,경북 의성군 의성읍 후죽3리,박철진,054-834-2900,
경북 청도군,청도군푸드뱅크,경상북도 청도군 화양읍 청화로 79-15,권덕수,054-373-7575,
경북 칠곡군,칠곡군푸드뱅크,경상북도 칠곡군 왜관읍 관문로1길 32,김태자,054-979-5129,
경남 창원시 마산회원구,경남광역푸드뱅크,경상남도 창원시 마산회원구 팔용로 272,정민화,055-298-9108,
경남 창원시 마산회원구,마산푸드뱅크,경상남도 창원시 마산회원구 내서읍 상곡로 49,장수용,055-231-8018,
경남 진주시,진주시푸드뱅크,경상남도 진주시 서장대로 281,김기호,055-747-1377,
경남 창원시 진해구,진해푸드뱅크,경상남도 창원시 진해구 진해대로 1101(풍호동 진해구청),최훈,055-540-0114,
경남 통영시,통영시푸드뱅크,경남 통영시 무전동,임효진,055-646-1377,
경남 사천시,사천시푸드뱅크,경상남도 사천시 동금5길 15,이외숙,055-831-5794,
경남 김해시,김해시푸드뱅크,경남 김해시 부원동,박숙자,055-324-4179,
경남 밀양시,밀양시푸드뱅크,경상남도 밀양시 중앙로 218,홍창희,055-350-1053,
경남 거제시,거제시푸드뱅크,경상남도 거제시 고현로2길 42,신종엽,055-632-0400,
경남 양산시,양산시푸드뱅크,경남 양산시 물금읍 범어리,성지혜,055-365-9544,
경남 함안군,함안군푸드뱅크,경상남도 함안군 가야읍 말산로 1,조근제,055-580-2495,
경남 창녕군,창녕군푸드뱅크,경상남도 창녕군 창녕읍 조산서재골로,하승범,055-532-0624,
경남 고성군,고성군푸드뱅크,경상남도 고성군 고성읍 죽계1길 95-1,정미향,055-672-5528,
경남 남해군,남해군푸드뱅크,경남 남해군 남해읍 아산리,남해군수,055-860-3883,
경남 하동군,하동군푸드뱅크,경남 하동군 하동읍,손호연,055-884-6955,
경남 함양군,함양군푸드뱅크,경남 함양군 함양읍 백천리,오충교,055-962-2071,
경남 합천군,합천군푸드뱅크,경상남도 합천군 합천읍 중앙로 33-2,금영자,055-931-2370,
제주 제주시,제주특별자치도푸드뱅크,제주특별자치도 제주시 청풍남8길 12-1,고승화,064-759-1377,
부산 북구,북구행복나눔푸드마켓,부산 북구 덕천1동,김태열,051-335-8377,
부산 해운대구,해운대푸드마켓,부산광역시 해운대구 재반로 79(재송동),정순영,051-781-1373,
부산 서구,푸르미&나누미푸드마켓,부산광역시 서구 구덕로346번길 28,조생래,051-941-1367,
경북 구미시,구미푸드마켓,경상북도 구미시 문장로 110,김용선(법등),054-443-1377,
경북 포항시 남구,포항시푸드마켓,경상북도 포항시 남구 송도로 51,신인숙,054-231-1377,
전북 익산시,익산행복나눔마켓뱅크,전라북도 익산시 중앙로7길 2-9,유화영,063-854-1377,
전북 무주군,무주행복나눔푸드마켓·뱅크,전라북도 무주군 무주읍 한풍루로 294,권삼일,063-322-1370,
전북 전주시 완산구,전주시행복나눔푸드마켓,전라북도 전주시 완산구 꽃밭정로 21,조영례,063-286-1377,
울산 남구,울산광역시나눔푸드마켓,울산광역시 남구 봉월로50번길 45(신정동),정근두,052-252-1377,
부산 서구,서구푸드뱅크,부산 서구 암남동,김미애,051-241-1133,
부산 동구,동구푸드뱅크,부산 동구 범일6동,정수홍,051-633-3367,
부산 영도구,영도구푸드뱅크,부산 영도구 동삼3동,김영신,051-404-5061,
강원 강릉시,강원도광역푸드뱅크,강원도 강릉시 난설헌로 12-6,왕종배,033-646-0197,
강원 춘천시,춘천시푸드뱅크,강원 춘천시 중앙로 104-1,신두진,033-262-3494,
강원 동해시,동해시기초푸드뱅크,강원도 동해시 선돌길 19,김익현,033-533-1155,
강원 태백시,태백푸드뱅크,강원도 태백시 태백로 398-8(화전동),이은숙,033-553-8155,
강원 속초시,속초기초푸드뱅크,강원 속초시 먹거리길19,하청수,033-635-0758,
강원 삼척시,삼척시푸드뱅크,강원도 삼척시 원당로2길 72-6,홍금표,033-575-0516,
강원 영월군,영월군푸드뱅크,강원도 영월군 영월읍 덕포하리4길 19-5,노인국,033-374-6411,
충북 청주시 흥덕구,충북광역푸드뱅크,충청북도 청주시 흥덕구 공단로 87,김영석,043-234-0840,
충북 충주시,충주시푸드뱅크,충청북도 충주시 주공길 7,이광훈,043-855-3000,
충북 제천시,제천기초푸드뱅크,충청북도 제천시 내토로 390,양순경,043-645-5004,
충북 옥천군,옥천군푸드뱅크,충청북도 옥천군 옥천읍 삼양로8길 9,오재훈,043-730-2654,
충북 증평군,증평군푸드뱅크,충청북도 증평군 증평읍 창신로 85,박경화,043-836-6040,
충남 홍성군,충남광역푸드뱅크,충청남도 홍성군 홍북읍 상하천로 50,박윤근,041-634-0875,
천안시 충남,천안기초푸드뱅크,충청남도 천안시 동남구 풍세로 708,이성수,041-523-1377,
충남 보령시,보령시푸드뱅크,충청남도 보령시 주공로 50,장희경,041-936-8501,
충남 서산시,서산시기초푸드뱅크,충청남도 서산시 서해로 3456,박근일,041-667-2303,
충남 아산시,아산시기초푸드뱅크,충청남도 아산시 배방읍 호서로 111-1,유계준,041-534-1377,
충남 논산시,논산사랑푸드뱅크,충청남도 논산시 생뫼길 14(강산동),전종혁,041-736-1004,
천안시 충남,천안희망나눔푸드마켓,충청남도 천안시 동남구 원성1길 24,노승환,041-573-1377,
제주 제주시,제주사랑나눔푸드마켓,제주특별자치도 제주시 동광로 85,고승화,064-758-1377,
강원 원주시,원주시푸드나눔센터,강원도 원주시 갈머리2길 31,지은희,033-747-1347,
대전 중구,대전사랑의먹거리나눔운동본부(푸드뱅크),대전광역시 중구 문창로 39,배현숙,042-242-2700,
경남 창원시 성산구,창원시희망푸드마켓,경상남도 창원시 성산구 신사로 7,함영권,055-283-1377,
경기 광명시,시립광명푸드뱅크마켓행복바구니1호점,경기도 광명시 광삼로 9,이광수,02-2688-1377,
경기 부천시 원미구,부천시다사랑푸드마켓,경기도 부천시 신흥로275번길 19,유두환,032-324-1688,
경기 성남시 중원구,성남열린푸드마켓,경기도 성남시 분당구 탄천로 215,서덕석,031-756-1378,
경기 수원시 팔달구,수원시해누리푸드마켓,경기도 수원시 팔달구 매산로 86,황재경,031-238-1378,
경기 의정부시,의정부푸드뱅크마켓,경기도 의정부시 용민로92번길 12,최재혁,031-829-6114,
경기 파주시,파주시희망푸드마켓,경기도 파주시 교하로 914,최명성,031-949-2215,
경기 평택시,평택시푸드마켓1호점,경기도 평택시 평택로 149,차현아,031-618-1877,
대구 달서구,달서구푸드마켓,대구 달서구 송현2동,송정준,053-636-1377,
대구 중구,행복한중구푸드마켓,대구 중구 남산4동,신상윤,053-256-1377,
인천 서구,서구푸드마켓2호점,인천광역시 서구 거북로 124,전명구,032-584-1377,
인천 부평구,부평구푸드마켓2호점,인천광역시 부평구 경원대로1367번길 18,김상현,032-511-1377,
인천 남구,미추홀구푸드마켓2호점,인천광역시 미추홀구 인주대로 127,신덕수,032-889-1377,
경기 안양시 만안구,안양시유쾌한푸드뱅크,경기도 안양시 만안구 안양로360번길 26,김정호,031-442-8488,
대구 남구,대구남구늘해랑푸드마켓,대구 남구 봉덕1동,안의종,053-473-1377,
서울 마포구,마포행복나눔푸드마켓2호점,서울 마포구 노고산동 1~40,박인길,02-703-1377,
전남 여수시,햇살나눔식품지원가게(마켓)2호점,전라남도 여수시 한재로 182,김종진,061-642-1477,
부산 금정구,부산금정구푸드마켓,부산 금정구 남산동,김귀경,051-911-1377,
부산 영도구,부산영도구푸드마켓,부산 영도구 동삼동,김영신,051-405-1377,
,전국푸드뱅크,서울특별시 마포구 만리재로 14,서상목,02-2077-398,
서울 도봉구,서울시광역푸드뱅크,서울특별시 성동구 자동차시장3길 64,김현훈,02-905-1377,
인천 부평구,부평구푸드뱅크,인천광역시 부평구 후정동로 6,김도균,032-519-1377,
광주 서구,행복나눔푸드마켓서구점,광주광역시 서구 염화로 119(화정동),김천수,062-374-1377,
광주 북구,행복나눔푸드마켓북구점,광주광역시 북구 서하로 232(오치동),신창수,062-264-1377,
경기 화성시,화성시행복나눔푸드마켓,경기도 화성시 향남읍 행정서로3길 50,조남범,031-8059-167,
전남 무안군,햇살나눔푸드마켓(전남)1호점,전라남도 무안군 삼향읍 오룡3길 22,노진영,061-283-1477,
경기 평택시,평택푸드마켓2호점,경기도 평택시 송탄로 191,이대영,031-664-1377,
전북 김제시,김제지평선푸드마켓,전라북도 김제시 금성로 93,권영세,063-543-1377,
경기 고양시 일산동구,고양시한아름푸드마켓,경기도 고양시 일산동구 호수로446번길 55,심재경,031-902-1377,
전북 고창군,고창푸드마켓,전라북도 고창군 전봉준로 96 푸드마켓(고창읍 율계리),손형석,063-561-1378,
충북 충주시,충주시푸드마켓,충청북도 충주시 사직산21길 34,이광훈,043-855-3011,
경기 부천시 소사구,부천행복한동행푸드뱅크,경기도 부천시 하우로 319,이명희,032-612-0124,
충북 단양군,단양나눔과기쁨푸드뱅크,충북 단양군 대강면 장림리,함기용,043-421-3191,
충남 태안군,태안군푸드뱅크,충청남도 태안군 군청2길 2,임종기,041-675-1379,
전북 전주시 덕진구,전북광역푸드뱅크,전라북도 전주시 덕진구 전주천동로 483,이병관,063-224-1861,
전북 전주시 완산구,전주시기초푸드뱅크,전라북도 전주시 완산구 소대배기로 18-34,조영례,063-225-4215,
전북 군산시,군산시기초푸드뱅크,전라북도 군산시 칠성로 59,황성덕,063-461-6555,
부산 부산진구,부산진구푸드뱅크,부산광역시 부산진구 당감서로 16,박현애,051-896-2320,
부산 동래구,동래구푸드뱅크,부산 동래구 명장2동,권경동,051-531-2460,
부산 사상구,부산사상구푸드마켓,부산광역시 사상구 동주로 6-9,정병우,051-325-1399,
경기 양주시,양주연화푸드마켓,경기도 양주시 외미로64번길 35,김재호,031-861-1377,
충북 청주시 상당구,청주시드림기초푸드뱅크,충청북도 청주시 청원구 상리로17번길 27-40,문영길,043-218-7991,
충북 단양군,단양군푸드마켓,충북 단양군 단양읍 도전리,김종학,043-422-1700,
경기 여주시,여주군좋은이웃기초푸드뱅크,경기도 여주시 가남읍 자유그린길 37,박홍원,031-884-1377,
경기 연천군,연천군푸드뱅크,경기도 연천군 전곡읍 전곡로40번길 1,백성국,031-833-1010,
충남 공주시,공주기초푸드뱅크,충청남도 공주시 신기동길 48-8,소진원,041-857-6004,
서울 은평구,은평푸드뱅크마켓,서울특별시 은평구 서오릉로 134-5,이영학,02-354-1377,
서울 마포구,마포행복나눔푸드(뱅크)마켓1호점,서울 마포구 성산동,박선예,02-364-1377,
경기 이천시,사랑나눔이천푸드마켓,경기도 이천시 경충대로2638번길 35,한정현,031-638-1375,
부산 남구,남구동행푸드마켓,부산광역시 남구 못골로53번길 12-20,김순희,051-638-1377,
충남 보령시,행복보령푸드마켓,충청남도 보령시 원동1길 95,오치인,041-931-8502,
경남 거창군,거창푸드뱅크,경남 거창군 마리면 하고리,임규순,055-942-7934,
전남 영광군,영광군푸드마켓,전라남도 영광군 영광읍 중앙로4길 7,김경옥,080-353-1377,
충남 홍성군,홍성군푸드마켓뱅크,충청남도 홍성군 홍성읍 홍성천길 114,곽정욱,041-634-7377,
충남 예산군,예산다다푸드마켓,충남 예산군 예산읍 예산리,김동경,041-335-8700,
부산 중구,중구다솜나래푸드마켓,부산 중구 영주동,신인미,051-463-1388,
인천 남구,미추홀구푸드마켓1호점,인천광역시 미추홀구 경인로 333,이승연,032-875-1377,
제주 제주시,북부기초푸드뱅크,제주특별자치도 제주시 한림읍 한림상로 207-9,안원식,064-796-9093,
충북 영동군,영동나눔푸드뱅크,충북 영동군 영동읍 설계리,서은선,043-744-4949,
경북 포항시 북구,내일을여는집포항기초푸드뱅크,경상북도 포항시 북구 삼흥로35번길 1-4,문혜정,054-244-1377,
강원 고성군,고성푸드뱅크사랑나눔센터,강원도 고성군 거진읍 태봉2길 24,김경현,033-681-1376,
경기 광주시,광주시중앙푸드뱅크&푸드마켓,경기도 광주시 고불로 40-11,소양호 목사,031-766-1377,
경북 포항시 남구,경동푸드뱅크,경상북도 포항시 남구 오천읍 해병로347번길 34,하광락,054-293-1378,
충북 청주시 청원구,청원기초푸드뱅크,충청북도 청주시 청원구 내수읍 내수로 737,김도경,043-218-1377,
경북 포항시 북구,흥해제일기초푸드뱅크,경상북도 포항시 북구 흥해읍 한동로 43,오철진,054-261-7525,
경북 포항시 북구,포항우리푸드뱅크,경상북도 포항시 북구 중앙로298번길 3-1,김소향,054-255-1377,
경기 수원시 장안구,수원시장안푸드뱅크,경기도 수원시 장안구 장안로63번길 8,이관호,031-271-1377,
서울 강동구,강동구 푸드뱅크마켓센터,서울특별시 강동구 동남로 926,임정백,02-427-1377,
서울 서대문구,서대문정담은푸드마켓1호점,서울 서대문구 냉천동,박선예,02-392-1377,
서울 영등포구,영등포사랑나눔푸드뱅크·마켓,서울특별시 영등포구 선유동1로 80,정진원,02-2632-1377,
서울 중랑구,중랑푸드마켓·뱅크센터,서울특별시 중랑구 봉화산로56길 22,양태경,02-493-1582,
서울 종로구,종로구 푸드뱅크마켓센터,서울 종로구 숭인1동,김병호,02-2148-4102,
서울 노원구,노원구 푸드뱅크마켓센터,서울특별시 노원구 동일로 1229 노원구민회관(중계동),김근,02-975-1277,
충북 진천군,진천나눔과기쁨기초푸드뱅크,충청북도 진천군 진천읍 진광로 72-1,안미선,043-536-0129,
서울 용산구,용산구 푸드뱅크마켓센터,서울특별시 용산구 한강대로 345,윤종철,02-703-0129,
경기 김포시,김포시푸드뱅크,경기도 김포시 북변중로65번길 4-8,이우배,031-996-1377,
충북 청주시 상당구,청주시구세군기초푸드뱅크,충청북도 청주시 상당구 꽃산동로 45,이상혁,043-254-1377,
서울 광진구,광진푸드뱅크마켓센터,서울 광진구 화양동,장영심,02-499-1377,
대전 유성구,대전가톨릭농수산물지원센터(푸드뱅크),대전광역시 유성구 노은동로 33,윤여창,042-822-7986,
세종,세종사랑나눔푸드마켓·뱅크,세종특별자치시 조치원읍 세종로 2567,김부유,044-868-1311,
광주 광산구,청지기푸드뱅크,광주광역시 광산구 송도로 143,홍요한,062-941-8209,
경기 여주시,여주구세군푸드뱅크,경기도 여주시 도예로 39-11,남세광,031-885-1138,
광주 북구,사랑나눔기초푸드뱅크,광주 북구 풍향동,안현식,062-512-1125,
충남 청양군,청양푸드뱅크,충청남도 청양군 운곡면 청신로,이준희,041-944-1500,
전남 완도군,푸드뱅크사랑나눔은행,전라남도 완도군 완도읍 청해진남로23번길 9,김민호,061-554-1377,
서울 금천구,금천구푸드뱅크마켓센터,서울특별시 금천구 탑골로 35,인치성,02-3286-1377,
서울 송파구,"송파푸드마켓, 송파푸드뱅크",서울 송파구 마천동,이대영,02-2043-1377,
서울 동대문구,동대문 푸드뱅크마켓,서울특별시 동대문구 천호대로2길 23-9(신설동),장성기,02-2246-0036,
충북 청주시 흥덕구,청주시사랑나눔기초푸드뱅크,충청북도 청주시 흥덕구 강서로71번길 20-3,조경옥,043-266-1377,
경기 양평군,양평군기초푸드뱅크,경기도 양평군 용문면 용문역길 67,강동연,031-775-7741,
대전 서구,대전행복나눔푸드마켓8호점,대전광역시 서구 배재로 99-1,김문규,042-528-1377,
부산 중구,중구푸드뱅크,부산 중구 대청동4가,김희순,051-464-3137,
인천 남동구,남동구푸드마켓2호점,인천광역시 남동구 구월로137번길 59,고석현,032-431-1377,
인천 연수구,연수구푸드마켓1호점,인천 연수구 선학동,최윤희,032-817-1377,
인천 연수구,연수구푸드마켓2호점,인천광역시 연수구 청량로184번길 17,한종근,032-834-2377,
인천 서구,서구푸드마켓1호점,인천광역시 서구 승학로 233,이두형,032-576-1377,
충남 보령시,행복보령푸드뱅크,충청남도 보령시 원동1길 95,오치인,041-931-8502,
울산 울주군,울주푸드뱅크마켓,울산광역시 울주군 언양읍 동문길 51,김외화,052-224-1377,
인천 계양구,계양구푸드마켓,인천광역시 계양구 계양대로 126,이준모,032-551-1377,
대전 대덕구,대전행복나눔무지개푸드마켓3호점,대전광역시 대덕구 계족로608번길 15,오단이,042-637-1377,
경남 통영시,통영나누미푸드마켓,경남 통영시 무전동,임효진,055-646-1377,
경남 진주시,진주푸드마켓,경상남도 진주시 서장대로 281,김기호,055-747-1377,
부산 동래구,동래등대지기푸드마켓,부산광역시 동래구 석사북로 59-1(온천동),권경동,051-506-1377,
부산 북구,북구푸드뱅크,부산 북구 덕천3동,김태열,051-331-4674,
부산 해운대구,해운대기초푸드뱅크,부산 해운대구 재송1동,정순영,051-782-5005,
부산 사하구,사하구푸드뱅크,부산광역시 사하구 다송로 59,김태형,051-265-9471,
부산 금정구,금정구푸드뱅크,부산광역시 금정구 중앙대로2349번길 3,박해영,051-508-1997,
부산 강서구,강서구푸드뱅크,부산 강서구 명지동,임광수,051-271-0561,
부산 연제구,연제구푸드뱅크,부산광역시 연제구 봉수로 17,정일현,"051-863-8360,",
부산 수영구,수영구푸드뱅크,부산 수영구 망미동,구춘희,051-755-3367,
부산 기장군,기장군푸드뱅크,부산광역시 기장군 기장읍 차성로288번길 27,이교승,051-724-3457,
대구 달서구,달서구본동푸드뱅크,대구광역시 달서구 송현로 113,송정준,053-639-1377,
대구 달서구,달서구성서푸드뱅크,대구광역시 달서구 신당로 56,김성수,053-582-1376,
대구 동구,동구동촌푸드뱅크,대구광역시 동구 입석로 5,김순애,053-986-1377,
대구 북구,북구산격푸드뱅크,대구광역시 북구 연암로 183,김형철,053-381-9193,
대구 수성구,수성구지산푸드뱅크,대구광역시 수성구 용학로 325,정병철,053-781-1377,
인천 중구,중구푸드마켓,인천 중구 전동,박종실,032-777-0377,
대전 유성구,대전행복나눔무지개푸드마켓4호점,대전광역시 유성구 봉산로36번길 1,김영미,042-935-1377,
대전 중구,대전행복나눔무지개푸드마켓5호점,대전광역시 중구 보문로 142,이경화,042-256-1377,
대전 유성구,대전행복나눔무지개푸드마켓6호점,대전광역시 유성구 계룡로88번길 50,윤여창,042-826-6377,
경기 안성시,서안성푸드뱅크,경기도 안성시 공도읍 진사길 79-17,박면호,031-652-5085,
광주 광산구,만나푸드뱅크,광주광역시 광산구 풍영로101번안길 15-9,김선구,062-941-1377,
인천 부평구,부평구푸드마켓1호점,인천 부평구 부개동,김도균,032-426-1377,
대구 달성군,달성푸드마켓다사점,대구 달성군 다사읍 매곡리,송정준,053-588-1375,
인천 남동구,남동구푸드마켓1호점,인천광역시 남동구 인주대로 854,류호인,032-463-1377,
대구 북구,북구희망나눔푸드마켓,대구광역시 북구 대구체육관로 28,이철상,053-954-1377,
대구 북구,북구사랑나눔푸드마켓,대구광역시 북구 칠곡중앙대로91길 5 칠곡서한그린빌라(관음동),유정순,053-321-1377,
경기 남양주시,남양주푸드마켓,경기도 남양주시 진건읍 사릉로 406-1,신영미,031-528-1668,
제주 서귀포시,서귀포 행복나눔푸드마켓·푸드뱅크,제주특별자치도 서귀포시 중앙로62번길 56,김보성,064-733-1388,
경기 화성시,화성시나래울푸드마켓,경기도 화성시 여울로2길 33,김정희,031-8015-7400,
대구 중구,중구푸드뱅크,대구 중구 남산로1길,신상윤,053-254-1388,
대구 달성군,달성군푸드뱅크,대구 달성군 논공읍 북리,송정준,053-615-9191,
인천 서구,인천광역시기부식품등지원센터,인천광역시 서구 가정로87번길 7,이명숙,032-891-1377,
인천 동구,동구푸드뱅크,인천 동구 화수1동,김도진,032-763-1377,
인천 남동구,남동구푸드뱅크,인천광역시 남동구 인주대로 854,류호인,032-469-1377,
인천 계양구,계양구푸드뱅크,인천광역시 계양구 계양대로 126,이준모,032-555-1377,
인천 서구,서구푸드뱅크,인천광역시 서구 신석로121번길 10,정서연,032-574-1377,
대구 달서구,상록수푸드뱅크,대구광역시 달서구 문화회관3길 25(장기동),김후남,053-716-6123,
